ID Negociação;Proposta;Número da Requisição;Código do material;Fornecedor;CNPJ;Data de entrega;Prazo de pagamento;Valor;Condição de pagamento;Comentario do fornecedor;Comentario do colaborador;Numero da rodada;Análise da IA
23423;P8;RC-2025-21;649192;NotebookParts;64.789.012/0001-99;53 dias;53 dias;105;reajustável;;;1;
43456;P9;RC-2025-21;649192;RAMTech;85.890.123/0001-66;64 dias;64 dias;110;reajustável;;;1;
67890;P10;RC-2025-21;649192;EletroRAM;32.717.121/0001-79;52 dias;52 dias;100;reajustável;;;1;
12345;P13;RC-2025-24;649192;EletroRAM;32.717.121/0001-82;55 dias;55 dias;109;reajustável;;;1;
82050;P11;RC-2025-29;649192;NotebookParts;55.712.612/0001-83;53;53;105;reajustável;;;1;
55299;P12;RC-2025-25;649192;RAMTech;47.132.502/0001-59;64;64;110;reajustável;;;1;
11659;P14;RC-2025-30;649192;EletroRAM;49.560.223/0001-49;52;52;100;reajustável;;;1;
63628;P15;RC-2025-22;649192;TechNova;14.201.858/0001-73;55;55;109;reajustável;;;1;
71055;P16;RC-2025-28;649192;CompuStore;36.481.823/0001-99;55;55;101.96;reajustável;;;1;
51728;P17;RC-2025-21;649192;MegaRAM;70.633.624/0001-47;56;56;106.98;reajustável;;;1;
69015;P18;RC-2025-26;649192;NoteCenter;76.117.186/0001-26;59;59;104.85;reajustável;;;1;
52763;P19;RC-2025-25;649192;RAMWorld;31.368.694/0001-21;56;56;108.21;reajustável;;;1;
32547;P20;RC-2025-23;649192;ElectroTech;85.933.101/0001-11;61;61;108.46;reajustável;;;1;
65061;P21;RC-2025-25;649192;NoteRAM;93.993.772/0001-79;50;50;109.37;reajustável;;;1;
35238;P22;RC-2025-28;649192;RAMPlus;19.682.749/0001-45;59;59;109.94;reajustável;;;1;
61480;P23;RC-2025-27;649192;DigitalRAM;98.283.984/0001-46;56;56;108.58;reajustável;;;1;
42666;P24;RC-2025-21;649192;RAMExpress;36.790.569/0001-13;65;65;108.87;reajustável;;;1;
58410;P25;RC-2025-23;649192;RAMZone;36.886.738/0001-96;59;59;102.39;reajustável;;;1;
15660;P26;RC-2025-29;649192;RAMMax;48.684.721/0001-62;58;58;105.32;reajustável;;;1;
92594;P27;RC-2025-28;649192;RAMPoint;64.929.587/0001-38;63;63;101.13;reajustável;;;1;
47929;P28;RC-2025-25;649192;RAMLine;85.584.652/0001-85;65;65;106.63;reajustável;;;1;
89661;P29;RC-2025-23;649192;RAMShop;44.986.945/0001-35;55;55;108.69;reajustável;;;1;
88512;P30;RC-2025-20;649192;RAMSolutions;58.688.369/0001-66;65;65;104.46;reajustável;;;1;
90179;P31;RC-2025-24;649192;RAMExpert;28.267.561/0001-53;58;58;109.41;reajustável;;;1;
93763;P32;RC-2025-27;649192;RAMFactory;26.575.247/0001-11;52;52;108.82;reajustável;;;1;
93779;P33;RC-2025-24;649192;RAMDepot;61.981.282/0001-52;60;60;108.24;reajustável;;;1;
92893;P34;RC-2025-20;649192;RAMPlanet;42.612.703/0001-73;63;63;105.27;reajustável;;;1;
52445;P35;RC-2025-22;649192;RAMGalaxy;60.425.851/0001-77;51;51;105.1;reajustável;;;1;
71006;P36;RC-2025-30;649192;RAMInfinity;19.444.832/0001-58;62;62;106.64;reajustável;;;1;
54498;P37;RC-2025-25;649192;RAMPower;29.317.774/0001-71;51;51;105.33;reajustável;;;1;
26470;P38;RC-2025-26;649192;RAMCore;66.631.731/0001-77;59;59;106.1;reajustável;;;1;
94059;P39;RC-2025-23;649192;RAMSystems;88.436.859/0001-27;53;53;107.84;reajustável;;;1;
50027;P40;RC-2025-23;649192;RAMLogic;73.384.786/0001-43;61;61;104.15;reajustável;;;1;